,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,4425598628,Afternoon Walk,2020-12-03T17:37:05Z,Walk,4872.7,3548,3606,19.3,"[53.52399, -6.679663]",garmin_push_5908598471
1,4412650688,Afternoon Walk,2020-11-29T13:33:21Z,Walk,2504.9,1524,1646,9.6,"[53.556158, -6.769271]",garmin_push_5895472155
2,4378799597,Lunch Walk,2020-11-22T11:43:01Z,Walk,4311.1,3148,3422,21.8,"[53.535821, -6.710261]",garmin_push_5862050842
3,4368937925,Lunch Run,2020-11-21T12:11:15Z,Run,5468.6,1492,2533,0.0,"[53.522773, -6.660333]",garmin_push_5852584915
4,4364442869,Afternoon Walk,2020-11-20T13:11:11Z,Walk,2341.0,1614,1636,11.8,"[53.524063, -6.679699]",garmin_push_5848183652
5,4361902291,Evening Walk,2020-11-19T19:48:48Z,Walk,4238.4,2886,2903,17.2,"[53.523399, -6.660449]",garmin_push_5845719560
6,4355419825,Lunch Run,2020-11-18T13:00:28Z,Run,2657.2,647,1235,0.0,"[53.522959, -6.660186]",garmin_push_5839217539
7,4346005275,Lunch Walk,2020-11-14T12:01:00Z,Walk,4613.5,3276,3359,28.8,"[53.535807, -6.710228]",garmin_push_5829958641
8,4331466650,Afternoon Run,2020-11-13T13:11:59Z,Run,5000.9,1333,1339,21.1,"[53.524163, -6.679728]",garmin_push_5815279284
9,4306785738,Afternoon Walk,2020-11-06T17:01:27Z,Walk,2340.4,1874,2125,61.1,"[53.581686, -6.609872]",garmin_push_5790900939
10,4296814609,Afternoon Run,2020-11-06T13:10:02Z,Run,5004.1,1372,1378,21.1,"[53.524086, -6.679717]",garmin_push_5781232719
11,4263273687,Afternoon Walk,2020-10-30T17:39:19Z,Walk,2051.5,1307,1488,8.8,"[53.523954, -6.679725]",garmin_push_5749543075
12,4262501895,First Run back after injury 🥵,2020-10-30T14:46:46Z,Run,5003.9,1342,1357,20.7,"[53.524295, -6.679011]",garmin_push_5748709907
13,4262337078,Lunch Walk,2020-10-30T12:58:59Z,Walk,4006.2,2836,3079,15.6,"[53.535897, -6.710355]",garmin_push_5748527689
14,4257706581,Afternoon Walk,2020-10-28T15:28:15Z,Walk,4375.6,2958,2975,10.4,"[53.543668, -6.663799]",garmin_push_5743532024
15,4257705886,Afternoon Walk,2020-10-27T14:18:24Z,Walk,3227.1,2546,3676,12.0,"[53.535934, -6.71029]",garmin_push_5743531395
16,4257705334,Afternoon Walk,2020-10-26T17:04:39Z,Walk,2185.4,1788,2062,6.5,"[53.535877, -6.710239]",garmin_push_5743530828
17,4257704841,Afternoon Walk,2020-10-25T16:19:14Z,Walk,3330.9,2462,2708,11.7,"[53.535949, -6.710357]",garmin_push_5743530392
18,4241424712,Evening Walk,2020-10-24T18:05:06Z,Walk,4582.6,3069,3317,24.7,"[53.535854, -6.710416]",garmin_push_5726106264
19,4229689278,Evening Walk,2020-10-22T18:36:30Z,Walk,2003.7,1285,1300,13.0,"[53.524002, -6.67964]",garmin_push_5713622900
20,4210785208,Afternoon Walk,2020-10-17T13:35:43Z,Walk,2274.5,1712,1840,58.4,"[53.581838, -6.610032]",garmin_push_5693711584
21,4186528863,Afternoon Walk,2020-10-10T15:37:35Z,Walk,4032.9,2148,2726,54.6,"[53.59151, -6.624959]",garmin_push_5668553749
22,4115520702,Afternoon Walk,2020-09-26T17:28:17Z,Walk,2764.8,1967,2210,16.6,"[53.535849, -6.710376]",garmin_push_5594817961
23,4091428627,Afternoon Walk,2020-09-20T15:10:44Z,Walk,3628.0,2793,3269,9.9,"[53.555828, -6.769589]",garmin_push_5569617267
24,3991051375,Afternoon Walk,2020-08-29T13:54:22Z,Walk,2608.9,2043,2189,69.9,"[53.581078, -6.60954]",garmin_push_5466208135
25,3896003081,Lunch Walk,2020-08-08T11:54:41Z,Walk,3240.4,2956,5264,101.4,"[54.050265, -8.445091]",garmin_push_5367915331
26,3896001617,Evening Walk,2020-08-04T18:05:50Z,Walk,2769.4,1919,2075,74.3,"[53.573722, -6.611598]",garmin_push_5367913856
27,3854884574,Afternoon Walk,2020-08-02T17:49:45Z,Walk,2969.2,2077,2389,77.7,"[53.573712, -6.61098]",garmin_push_5325400115
28,3849385309,Afternoon Walk,2020-08-01T13:23:54Z,Walk,15952.6,12618,15745,362.4,"[53.14498, -6.063186]",garmin_push_5319697871
29,3838103432,Afternoon Walk,2020-07-30T13:19:37Z,Walk,2526.2,1975,2101,12.1,"[53.535969, -6.710469]",garmin_push_5306699160
30,3822130303,Afternoon Run,2020-07-27T17:35:33Z,Run,3363.1,981,1527,0.0,"[53.522844, -6.660265]",garmin_push_5287328492
31,3822130060,Afternoon Walk,2020-07-23T13:57:34Z,Walk,5818.8,4706,5666,137.1,"[52.019888, -9.501746]",garmin_push_5287328069
32,3821974628,Lunch Walk,2020-07-22T12:25:23Z,Walk,3423.4,3774,5611,212.7,"[51.802031, -9.660646]",garmin_push_5287127323
33,3765827888,Afternoon Walk,2020-07-15T13:40:08Z,Walk,2305.6,1666,1726,11.8,"[53.536063, -6.710378]",garmin_push_5240504187
34,3706819801,Lunch 3k,2020-07-03T12:25:51Z,Run,3010.4,827,839,10.3,"[53.524187, -6.679715]",garmin_push_5181235695
35,3692543605,Afternoon Walk,2020-06-30T13:04:38Z,Walk,3065.3,1900,1938,18.0,"[53.523995, -6.67957]",garmin_push_5167021442
36,3683561345,Afternoon Run,2020-06-28T13:37:52Z,Run,2540.6,1335,2879,3.4,"[53.48749, -10.028443]",garmin_push_5157878605
37,3683560130,Afternoon Run,2020-06-27T16:53:21Z,Run,1804.3,917,1725,3.7,"[53.48707, -10.02902]",garmin_push_5157877435
38,3663315826,Evening Walk,2020-06-23T18:01:17Z,Walk,2255.2,1666,1810,14.0,"[53.535851, -6.710185]",garmin_push_5137366055
39,3648466711,Lunch Run,2020-06-21T11:59:53Z,Run,4650.4,1573,4014,3.0,"[53.459082, -6.637796]",garmin_push_5122788072
40,3646141155,Kiltale 24 hr Relay Part 2 🤕,2020-06-21T00:58:56Z,Run,5914.0,1612,1612,28.2,"[53.523713, -6.660228]",garmin_push_5120370567
41,3644443693,Kiltale 24 Hour Relay 🏃🏃🏃🏃,2020-06-20T16:56:37Z,Run,5852.8,1568,1573,27.4,"[53.523775, -6.660942]",garmin_push_5118829292
42,3614833955,Tonelagee Hike ⛰️,2020-06-14T15:09:19Z,Hike,5006.9,4695,9819,428.3,"[53.041766, -6.396123]",garmin_push_5089615143
43,3608454147,Afternoon Walk,2020-06-13T15:18:24Z,Walk,4762.1,3585,3601,34.5,"[53.535914, -6.710245]",garmin_push_5083574967
44,3603483593,Afternoon Walk,2020-06-12T16:47:21Z,Walk,3081.7,2135,2341,54.5,"[53.578859, -6.608837]",garmin_push_5078666206
45,3597640982,Afternoon Ride,2020-06-11T13:18:19Z,Ride,0.0,2952,2952,0,,garmin_push_5072870151
46,3592634339,Afternoon Run,2020-06-10T13:10:39Z,Run,5007.3,1244,1244,19.2,"[53.524165, -6.680084]",garmin_push_5067876376
47,3582391030,Lunch Walk,2020-06-08T12:58:54Z,Walk,3187.9,2375,2637,13.8,"[53.523882, -6.679736]",garmin_push_5057946760
48,3579579978,Evening Run,2020-06-07T18:45:59Z,Run,4085.1,2257,2258,2.7,"[53.535622, -6.7097]",garmin_push_5055138672
49,3578732151,Afternoon Walk,2020-06-07T15:36:02Z,Walk,5092.8,4198,5214,28.9,"[53.53587, -6.710343]",garmin_push_5054346188
50,3567227426,Afternoon Walk,2020-06-05T13:19:47Z,Walk,2997.9,1852,1899,17.7,"[53.524031, -6.679708]",garmin_push_5043031620
51,3562596482,Afternoon Run,2020-06-04T13:02:27Z,Run,8068.8,2199,2199,31.7,"[53.524224, -6.679787]",garmin_push_5038472737
52,3559683041,Evening Run,2020-06-03T19:24:59Z,Run,2764.2,3352,3356,0.0,"[53.524069, -6.672408]",garmin_push_5035632297
53,3552236725,Lunch Jog,2020-06-02T13:10:30Z,Run,5001.1,1385,1385,15.5,"[53.524628, -6.678355]",garmin_push_5028263870
